TRP,x,y,version,entry_id,timestamp,reader_initials,surveyor_n,volume,page,year,state,hubtack_co,baseline,meridian,township,townshipdi,rangenum,rangedir,sectiona,sectionb,interiorse,interiordi,refcorner,traveldir,secondpass,chains,typecorner,cornerid,species,speciescode,verbatim,L1_tree1,L3_tree1,diameter,bearing,degrees,bearingdir,chainstree,species2,speciescode2,verbatim2,L1_tree2,L3_tree2,diameter2,bearing2,degrees2,bearingd_1,chainstree2,species3,speciescode3,verbatim3,L1_tree3,L3_tree3,diameter3,bearing3,degrees3,bearingd_2,chainstree3,species4,speciescode4,verbatim4,L1_tree4,L3_tree4,diameter4,bearing4,degrees4,bearingd_3,chainstree4,ecotype,ecotypenot,ecotype2,ecotypen_1,ecotype3,ecotypen_2,water,nodata,notree,feature,featurenot,timbernote,understory,landnotes,landnotesv,generalnot,recheck,reason,fixed
42N12E3,626494.8525,630453.3692,2.1,16110,NA,Ian Shuman,George Macoupin,388,NA,1839,Illinois,Cook,3,3,42,N,12,E,NA,NA,NA,NA,NA,NA,NA,NA,Township,700700,Red oak, RO,Red oak,red oak,Oak,20,N,36,W,7,White oak,WO,White oak,white oak,Oak,30,N,30,E,49,Red oak, RO,Red oak,red oak,Oak,24,S,36,E,75,Ash, AX,Ash,ash,Ash,12,S,33,W,48,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,"Four trees given, Marlin did not include the last two in his entry",NA,NA,NA
46N5E3,556550.3112,672068.0435,2.1,17470,NA,Annie Pappas,J. Sprigg,377,NA,1837,Illinois,McHenry,3,3,46,N,5,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,400600,Sugar maple, SU,Sugar maple,sugar maple,Maple,14,S,48,W,77,Blue beech,HO,Ironwood,ironwood,Ironwood,12,N,51,W,57,Sugar maple, SU,Sugar maple,sugar maple,Maple,12,S,16,E,77,Ash, AX,Ash,ash,Ash,10,N,20,E,75,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Savanna; swamp,NA,,NA,NA,NA
42N13E3,630839.6842,623632.8769,2.1,16151,NA,Ian Shuman,George Macoupin,389,NA,1839,Illinois,Cook,3,3,42,N,13,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,400300,White oak,WO,White oak,white oak,Oak,12,N,24,W,53,Burr oak, BR,Bur oak,bur oak,Oak,14,N,52,E,83,Ash, AX,Ash,ash,Ash,15,S,43,E,140,Aspen, AS,Aspen,aspen,Poplar,14,S,53,W,125,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Savanna; timber,NA,"Four trees given, Marlin did not include the last two in his entry",NA,NA,NA
42N12E3,624565.6787,625722.9756,2.1,16108,NA,Ian Shuman,George Macoupin,389,NA,1839,Illinois,Cook,3,3,42,N,12,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,600400,Burr oak, BR,Bur oak,bur oak,Oak,30,S,70,E,11,Burr oak, BR,Bur oak,bur oak,Oak,14,S,36,W,10,Black oak,BO,Black oak,black oak,Oak,12,N,36,E,59,Quaking aspen,AS,Aspen,aspen,Poplar,12,N,31,W,42,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,"Four trees given, the aspen was not included in Marlin's notes",NA,NA,NA
42N13E3,629373.5187,625351.8271,2.1,16147,NA,Ian Shuman,George Macoupin,389,NA,1839,Illinois,Cook,3,3,42,N,13,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,300400,White oak,WO,White oak,white oak,Oak,20,S,81,E,16,White oak,WO,White oak,white oak,Oak,36,N,37,W,67,Burr oak, BR,Burr oak,burr oak,Oak,24,N,67,E,102,Aspen, AS,Aspen,aspen,Poplar,20,S,60,E,46,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Savanna; timber,NA,"Four trees given, Marlin did not include the last two in his entry",NA,NA,NA
39N6E3,560165.929,600975.1287,2.1,13815,NA,Ian Shuman,John P. Thompson,435,NA,1840,Illinois,Kane,3,3,39,N,6,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,400400,Walnut, BW,Walnut,walnut,Walnut,18,N,68,W,18,Elm, EL,Elm,elm,Elm,30,S,71,W,32,Black oak,BO,Black oak,black oak,Oak,24,N,21,E,15,Basswood, BD,Basswood,basswood,Basswood,12,S,68,E,57,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,"Four trees given, the Basswood in Marlin's entry is given in the notes as a ""Lynn"" which is the same thing",NA,NA,NA
45N12E3,623366.4501,656460.3333,2.1,17092,NA,Ian Shuman,George Macoupin,391,NA,1839,Illinois,Lake,3,3,45,N,12,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,400500,Burr oak, BR,Bur oak,bur oak,Oak,10,S,2,W,77,black ash, FQ,Swamp ash,swamp ash,Ash,10,N,4,E,195,Ash, AX,Ash,ash,Ash,10,N,18.5,W,155,Birch, BI,Birch,birch,Birch,12,S,53.5,E,294,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Open Savanna; scattering timber,NA,"Four trees given, Marlin only included the first two in his entry",NA,NA,NA
39N8E3,580370.6682,596846.9998,2.1,14020,NA,Ian Shuman,John P. Thompson,434,NA,1839,Illinois,Kane,3,3,39,N,8,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,500200,Hickory, HI,Hickory,hickory,Hickory,18,S,44,E,21,Black oak,BO,Black oak,black oak,Oak,12,S,80,W,23,Basswood, BD,Basswood,basswood,Basswood,18,N,63,W,64,Black oak,BO,Black oak,black oak,Oak,18,N,47.5,E,55,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,"Marlin did not include the Lynn/Basswood or the Black oak 18 in dia in his entry, Lynn is the third tree given in the notes, but it is the same as a Basswood, The bearing2 value is hard to read in notes but is likely S as that is the only quadrant left",NA,NA,NA
36N6E3,555283.318,570388.4123,2.1,11398,NA,Annie Pappas,Eli L. Prescott,395,NA,1838,Illinois,Kendall,3,3,36,N,6,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,200300,Black oak,BO,Black oak,black oak,Oak,16,N,26,W,33,White oak,WO,White oak,white oak,Oak,12,N,38,E,139,Black oak,BO,Black oak,black oak,Oak,14,S,48,E,133,Black oak,BO,Black oak,black oak,Oak,22,S,10,W,192,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Savanna; timber,NA,,NA,NA,NA
36N7E3,570118.5523,574572.2248,2.1,11557,NA,Annie Pappas,Eli L. Prescott,395,NA,1838,Illinois,Kendall,3,3,36,N,7,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,500600,Burr oak, BR,Bur oak,bur oak,Oak,12,N,44,E,91,Burr oak, BR,Bur oak,bur oak,Oak,16,N,62,W,68,Black oak,BO,Black oak,black oak,Oak,8,S,34,E,51,Black oak,BO,Black oak,black oak,Oak,6,S,13,W,53,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Woodland; timber,NA,,NA,NA,NA
